"","size","perc_cr"
"1","<$5K",65.0228595682718
"2","$5K-$10K",62.5863716224131
"3","$10K-$20K",60.0177369403949
"4","$20K-$30K",58.398487620785
"5","$30K-$40K",57.3259866631162
"6","40K-$50K",56.0492515105326
"7","50K-$100K",56.5973294308397
"8","$100K-$250K",62.3842933842324
"9","$250K-$500K",66.0082666409156
"10",">$500K",66.3685947221747
